ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
24041,2,1,120,2.828427125,-59,75,"(2,3]"
24042,2,1,150,2.828427125,-59,105,"(2,3]"
24046,2,1,270,2.828427125,-58,-135,"(2,3]"
24047,2,1,300,2.828427125,-56,-105,"(2,3]"
24049,2,2,0,2.236067977,-52,-26.56505118,"(2,3]"
24050,2,2,30,2.236067977,-56,3.434948823,"(2,3]"
24053,2,2,120,2.236067977,-57,93.43494882,"(2,3]"
24054,2,2,150,2.236067977,-59,123.4349488,"(2,3]"
24059,2,2,300,2.236067977,-56,-86.56505118,"(2,3]"
24060,2,2,330,2.236067977,-53,-56.56505118,"(2,3]"
24061,2,3,0,2,-53,0,"[1,2]"
24062,2,3,30,2,-56,30,"[1,2]"
24063,2,3,60,2,-58,60,"[1,2]"
24064,2,3,90,2,-58,90,"[1,2]"
24065,2,3,120,2,-56,120,"[1,2]"
24067,2,3,180,2,-58,180,"[1,2]"
24072,2,3,330,2,-56,-30,"[1,2]"
24073,2,4,0,2.236067977,-53,26.56505118,"(2,3]"
24074,2,4,30,2.236067977,-53,56.56505118,"(2,3]"
24075,2,4,60,2.236067977,-56,86.56505118,"(2,3]"
24084,2,4,330,2.236067977,-57,-3.434948823,"(2,3]"
24085,2,5,0,2.828427125,-54,45,"(2,3]"
24086,2,5,30,2.828427125,-56,75,"(2,3]"
24087,2,5,60,2.828427125,-56,105,"(2,3]"
24097,2,6,0,3.605551275,-58,56.30993247,"(3,4]"
24098,2,6,30,3.605551275,-59,86.30993247,"(3,4]"
24099,2,6,60,3.605551275,-58,116.3099325,"(3,4]"
24112,3,0,90,3.16227766,-58,18.43494882,"(3,4]"
24113,3,0,120,3.16227766,-56,48.43494882,"(3,4]"
24114,3,0,150,3.16227766,-56,78.43494882,"(3,4]"
24115,3,0,180,3.16227766,-59,108.4349488,"(3,4]"
24119,3,0,300,3.16227766,-59,-131.5650512,"(3,4]"
24120,3,0,330,3.16227766,-56,-101.5650512,"(3,4]"
24121,3,1,0,2.236067977,-56,-63.43494882,"(2,3]"
24124,3,1,90,2.236067977,-58,26.56505118,"(2,3]"
24125,3,1,120,2.236067977,-59,56.56505118,"(2,3]"
24126,3,1,150,2.236067977,-56,86.56505118,"(2,3]"
24131,3,1,300,2.236067977,-58,-123.4349488,"(2,3]"
24132,3,1,330,2.236067977,-56,-93.43494882,"(2,3]"
24133,3,2,0,1.414213562,-56,-45,"[1,2]"
24134,3,2,30,1.414213562,-59,-15,"[1,2]"
24137,3,2,120,1.414213562,-58,75,"[1,2]"
24138,3,2,150,1.414213562,-58,105,"[1,2]"
24144,3,2,330,1.414213562,-56,-75,"[1,2]"
24145,3,3,0,1,-58,0,"[1,2]"
24149,3,3,120,1,-58,120,"[1,2]"
24150,3,3,150,1,-57,150,"[1,2]"
24151,3,3,180,1,-60,180,"[1,2]"
24155,3,3,300,1,-59,-60,"[1,2]"
24157,3,4,0,1.414213562,-58,45,"[1,2]"
24158,3,4,30,1.414213562,-58,75,"[1,2]"
24167,3,4,300,1.414213562,-59,-15,"[1,2]"
24168,3,4,330,1.414213562,-58,15,"[1,2]"
24170,3,5,30,2.236067977,-59,93.43494882,"(2,3]"
24178,3,5,270,2.236067977,-58,-26.56505118,"(2,3]"
24180,3,5,330,2.236067977,-56,33.43494882,"(2,3]"
24197,0,0,120,5,-59,83.13010235,"(4,5]"
24198,0,0,150,5,-56,113.1301024,"(4,5]"
24199,0,0,180,5,-59,143.1301024,"(4,5]"
24201,0,0,240,5,-59,-156.8698976,"(4,5]"
24202,0,0,270,5,-56,-126.8698976,"(4,5]"
24203,0,0,300,5,-56,-96.86989765,"(4,5]"
24204,0,0,330,5,-58,-66.86989765,"(4,5]"
24205,0,1,0,4.472135955,-56,-26.56505118,"(4,5]"
24206,0,1,30,4.472135955,-58,3.434948823,"(4,5]"
24210,0,1,150,4.472135955,-58,123.4349488,"(4,5]"
24211,0,1,180,4.472135955,-59,153.4349488,"(4,5]"
24213,0,1,240,4.472135955,-56,-146.5650512,"(4,5]"
24214,0,1,270,4.472135955,-47,-116.5650512,"(4,5]"
24215,0,1,300,4.472135955,-48,-86.56505118,"(4,5]"
24216,0,1,330,4.472135955,-50,-56.56505118,"(4,5]"
24217,0,2,0,4.123105626,-47,-14.03624347,"(4,5]"
24218,0,2,30,4.123105626,-52,15.96375653,"(4,5]"
24219,0,2,60,4.123105626,-59,45.96375653,"(4,5]"
24221,0,2,120,4.123105626,-60,105.9637565,"(4,5]"
24222,0,2,150,4.123105626,-59,135.9637565,"(4,5]"
24224,0,2,210,4.123105626,-58,-164.0362435,"(4,5]"
24226,0,2,270,4.123105626,-46,-104.0362435,"(4,5]"
24227,0,2,300,4.123105626,-44,-74.03624347,"(4,5]"
24228,0,2,330,4.123105626,-44,-44.03624347,"(4,5]"
24229,0,3,0,4,-41,0,"(3,4]"
24230,0,3,30,4,-44,30,"(3,4]"
24231,0,3,60,4,-45,60,"(3,4]"
24232,0,3,90,4,-53,90,"(3,4]"
24233,0,3,120,4,-58,120,"(3,4]"
24235,0,3,180,4,-59,180,"(3,4]"
24238,0,3,270,4,-53,-90,"(3,4]"
24239,0,3,300,4,-46,-60,"(3,4]"
24240,0,3,330,4,-42,-30,"(3,4]"
24241,0,4,0,4.123105626,-45,14.03624347,"(4,5]"
24242,0,4,30,4.123105626,-44,44.03624347,"(4,5]"
24243,0,4,60,4.123105626,-44,74.03624347,"(4,5]"
24244,0,4,90,4.123105626,-45,104.0362435,"(4,5]"
24245,0,4,120,4.123105626,-48,134.0362435,"(4,5]"
24246,0,4,150,4.123105626,-56,164.0362435,"(4,5]"
24248,0,4,210,4.123105626,-59,-135.9637565,"(4,5]"
24249,0,4,240,4.123105626,-59,-105.9637565,"(4,5]"
24251,0,4,300,4.123105626,-62,-45.96375653,"(4,5]"
24252,0,4,330,4.123105626,-53,-15.96375653,"(4,5]"
24253,0,5,0,4.472135955,-53,26.56505118,"(4,5]"
24254,0,5,30,4.472135955,-48,56.56505118,"(4,5]"
24255,0,5,60,4.472135955,-47,86.56505118,"(4,5]"
24256,0,5,90,4.472135955,-46,116.5650512,"(4,5]"
24257,0,5,120,4.472135955,-52,146.5650512,"(4,5]"
24258,0,5,150,4.472135955,-57,176.5650512,"(4,5]"
